Detail for each storm on Atlantic Hurricanes:

ID	TotalDistance 	 Max 	 Mean
AL081935	1859.72	13.01	7.04
AL011936	1835.37	28.3	14.65
AL021936	553.51	11.62	7.69
AL031936	240.93	9.96	7.07
AL041936	618.78	16.93	12.74
AL051936	956.2	10.51	7.64
AL061936	2853.73	42.59	15.86
AL071936	773.57	9.5	6.45
AL081936	816.99	10.54	7.17
AL091936	820.43	20.48	11.91
AL101936	4673.99	41.88	16.23
AL111936	767.64	13.55	10.66
AL121936	304.12	14.08	12.67
AL131936	4549.24	31.96	10.83
AL141936	744.02	11.85	5.91
AL151936	2232.55	47.01	13.78
AL161936	284.69	9.74	5.93
AL171936	3602.67	48.58	11.12
AL011937	1737.6	29.39	14.95
AL021937	1658.18	19.78	10.24
AL031937	2084.2	12.6	9.43
AL041937	1942.22	27.38	14.07
AL051937	901.26	35.76	18.78
AL061937	2834.03	30.69	15.74
AL071937	848.83	10.66	6.79
AL081937	3477.15	40.25	17.56
AL091937	3058.07	32.72	18.88
AL101937	623.06	16.69	11.33
AL111937	701.51	16.23	11.69
AL011938	1470.1	19.27	11.67
AL021938	622.45	21.77	17.29
AL031938	2566.03	30.35	19.38
AL041938	1637.74	16.23	11.87
AL051938	1272.48	13.34	11.78
AL061938	4802.63	42.09	15.71
AL071938	1579.19	15.53	9.39
AL081938	1201.7	19.61	11.13
AL091938	801.45	13.83	9.54
AL011939	1630.41	21.29	10.32
AL021939	2466.81	26.54	8.64
AL031939	1764.26	31.3	12.78
AL041939	933.86	14.87	9.22
AL051939	2531.95	43.22	14.55
AL061939	2000.61	44.53	8.77
AL011940	1582.06	19.98	8.51
AL021940	985.58	9.56	5.64
AL031940	1854.78	18.71	8.64
AL041940	1820.92	22.15	9.2
AL051940	3985.26	33.56	13.84
AL061940	1707.02	18.08	10.5
AL071940	2095.23	34.47	13.43
AL081940	437.11	8.45	4.05
AL091940	2333.47	58.47	19.45
AL011941	565.8	8.17	4.49
AL021941	3128.11	41.82	13.54
AL031941	1498.8	13.24	8.06
AL041941	2153.48	15.6	12.82
AL051941	3382.05	29.64	14.17
AL061941	1263.92	15.75	7.33
AL011942	878.05	16.77	13.3
AL021942	1607.69	34.91	11.03
AL031942	2045.04	15.13	9.57
AL041942	1619.94	18.03	7.11
AL051942	1900.38	18.41	10.22
AL061942	1485.56	23.73	9.52
AL071942	539.28	13.89	7.49
AL081942	1963.98	26.18	15.59
AL091942	482.64	13.01	7.31
AL101942	1300.35	14.67	10.32
AL111942	1452.02	14.56	8.96
AL011943	666.65	10.66	6.53
AL021943	1831.54	23.12	12.21
AL031943	3052.62	42.74	15.42
AL041943	1789.21	35.76	8.52
AL051943	2124.88	40.52	20.83
AL061943	568.45	12.51	4.99
AL071943	1018.06	15.36	11.31
AL081943	1968.1	54.8	32.8
AL091943	1716.45	34.19	11.92
AL101943	888.0	9.64	5.92
AL011944	2276.69	37.47	14.05
AL021944	1470.67	19.68	17.51
AL031944	1679.85	22.8	14.73
AL041944	2313.53	16.33	12.44
AL051944	885.21	10.4	7.77
AL061944	634.96	26.09	12.31
AL071944	3073.18	42.52	18.25
AL081944	762.36	14.63	9.77
AL091944	3682.77	39.7	21.92
AL101944	817.64	20.66	11.36
AL111944	446.04	13.34	6.19
AL121944	1308.76	31.01	11.48
AL131944	3822.11	38.26	13.37
AL141944	132.86	3.55	2.02
AL011945	3892.25	29.19	11.65
AL021945	417.46	7.81	5.8
AL031945	814.76	14.7	12.34
AL041945	1371.67	18.76	16.33
AL051945	768.3	8.45	5.57
AL061945	818.5	12.78	9.75
AL071945	982.0	21.88	13.64
AL081945	1278.66	23.2	16.39
AL091945	3650.83	41.06	17.1
AL101945	1628.77	20.27	12.93
AL111945	3165.71	41.87	21.11
AL011946	478.25	9.56	6.13
AL021946	1684.29	19.0	12.51
AL031946	320.45	19.51	13.44
AL041946	2887.15	36.48	20.18
AL051946	930.51	14.96	8.16
AL061946	2808.84	27.57	13.02
AL071946	773.3	19.95	12.82
AL011947	503.86	12.71	9.33
AL021947	1531.48	15.14	9.17
AL031947	1389.7	11.98	6.4
AL041947	4940.18	21.5	11.93
AL051947	319.45	10.53	7.01
AL061947	1723.27	32.52	12.43
AL071947	1054.28	24.31	12.89
AL081947	522.01	12.74	7.25
AL091947	1950.52	17.37	10.29
AL101947	2152.89	39.16	17.09
